Year,Month,Forest,State,Cause,Area_Burned_km2
2004,3,Simlipal National Park,Odisha,Anthropogenic,27.18
2004,4,Periyar Tiger Reserve,Kerala,Anthropogenic,193.36
2004,5,Sundarbans,West Bengal,Anthropogenic,145.63
2004,6,Kaziranga National Park,Assam,Anthropogenic,8.39
2004,7,Periyar Tiger Reserve,Kerala,Anthropogenic,26.97
2004,8,Periyar Tiger Reserve,Kerala,Anthropogenic,143.07
2004,9,Bandipur Tiger Reserve,Karnataka,Anthropogenic,68.55
2004,10,Simlipal National Park,Odisha,Anthropogenic,104.29
2004,11,Nagaland Forests,Nagaland,Anthropogenic,192.7
2004,12,Simlipal National Park,Odisha,Anthropogenic,177.36
2005,1,Periyar Tiger Reserve,Kerala,Anthropogenic,191.01
2005,2,Periyar Tiger Reserve,Kerala,Anthropogenic,109.05
2005,3,Kaziranga National Park,Assam,Natural,117.63
2005,4,Sundarbans,West Bengal,Anthropogenic,89.69
2005,5,Satpura Range,Madhya Pradesh,Anthropogenic,57.16
2005,6,Nagaland Forests,Nagaland,Anthropogenic,91.84
2005,7,Bandipur Tiger Reserve,Karnataka,Anthropogenic,149.01
2005,8,Uttarakhand Forests,Uttarakhand,Anthropogenic,178.85
2005,9,Nagaland Forests,Nagaland,Anthropogenic,164.78
2005,10,Nagaland Forests,Nagaland,Anthropogenic,176.86
2005,11,Nagaland Forests,Nagaland,Anthropogenic,59.29
2005,12,Satpura Range,Madhya Pradesh,Anthropogenic,86.94
2006,1,Bandipur Tiger Reserve,Karnataka,Anthropogenic,62.15
2006,2,Bandipur Tiger Reserve,Karnataka,Anthropogenic,199.98
2006,3,Nagaland Forests,Nagaland,Anthropogenic,24.57
2006,4,Nagaland Forests,Nagaland,Anthropogenic,26.73
2006,5,Satpura Range,Madhya Pradesh,Natural,157.95
2006,6,Nagaland Forests,Nagaland,Anthropogenic,182.99
2006,7,Nagaland Forests,Nagaland,Anthropogenic,24.34
2006,8,Uttarakhand Forests,Uttarakhand,Anthropogenic,31.65
2006,9,Gir National Park,Gujarat,Anthropogenic,54.57
2006,10,Satpura Range,Madhya Pradesh,Anthropogenic,107.45
2006,11,Uttarakhand Forests,Uttarakhand,Anthropogenic,113.0
2006,12,Bandipur Tiger Reserve,Karnataka,Anthropogenic,39.73
2007,1,Gir National Park,Gujarat,Anthropogenic,29.87
2007,2,Gir National Park,Gujarat,Anthropogenic,115.9
2007,3,Simlipal National Park,Odisha,Anthropogenic,164.84
2007,4,Himachal Forests,Himachal Pradesh,Anthropogenic,154.14
2007,5,Himachal Forests,Himachal Pradesh,Anthropogenic,194.55
2007,6,Uttarakhand Forests,Uttarakhand,Anthropogenic,65.49
2007,7,Himachal Forests,Himachal Pradesh,Anthropogenic,178.48
2007,8,Periyar Tiger Reserve,Kerala,Anthropogenic,86.69
2007,9,Satpura Range,Madhya Pradesh,Anthropogenic,8.46
2007,10,Himachal Forests,Himachal Pradesh,Anthropogenic,50.78
2007,11,Nagaland Forests,Nagaland,Anthropogenic,10.38
2007,12,Sundarbans,West Bengal,Anthropogenic,101.33
2008,1,Himachal Forests,Himachal Pradesh,Anthropogenic,63.83
2008,2,Sundarbans,West Bengal,Anthropogenic,17.17
2008,3,Bandipur Tiger Reserve,Karnataka,Anthropogenic,67.92
2008,4,Sundarbans,West Bengal,Anthropogenic,109.34
2008,5,Gir National Park,Gujarat,Anthropogenic,152.84
2008,6,Bandipur Tiger Reserve,Karnataka,Anthropogenic,178.98
2008,7,Satpura Range,Madhya Pradesh,Anthropogenic,138.84
2008,8,Bandipur Tiger Reserve,Karnataka,Anthropogenic,94.77
2008,9,Periyar Tiger Reserve,Kerala,Anthropogenic,28.18
2008,10,Bandipur Tiger Reserve,Karnataka,Anthropogenic,31.94
2008,11,Satpura Range,Madhya Pradesh,Anthropogenic,177.78
2008,12,Satpura Range,Madhya Pradesh,Anthropogenic,34.86
2009,1,Kaziranga National Park,Assam,Anthropogenic,81.5
2009,2,Gir National Park,Gujarat,Anthropogenic,198.11
2009,3,Satpura Range,Madhya Pradesh,Anthropogenic,102.68
2009,4,Sundarbans,West Bengal,Anthropogenic,108.22
2009,5,Bandipur Tiger Reserve,Karnataka,Anthropogenic,94.09
2009,6,Sundarbans,West Bengal,Anthropogenic,166.44
2009,7,Nagaland Forests,Nagaland,Anthropogenic,137.92
2009,8,Bandipur Tiger Reserve,Karnataka,Anthropogenic,178.84
2009,9,Simlipal National Park,Odisha,Anthropogenic,60.49
2009,10,Simlipal National Park,Odisha,Anthropogenic,57.16
2009,11,Satpura Range,Madhya Pradesh,Anthropogenic,186.54
2009,12,Bandipur Tiger Reserve,Karnataka,Anthropogenic,155.98
2010,1,Nagaland Forests,Nagaland,Anthropogenic,99.38
2010,2,Satpura Range,Madhya Pradesh,Anthropogenic,68.67
2010,3,Kaziranga National Park,Assam,Anthropogenic,7.19
2010,4,Kaziranga National Park,Assam,Anthropogenic,132.25
2010,5,Simlipal National Park,Odisha,Anthropogenic,129.21
2010,6,Bandipur Tiger Reserve,Karnataka,Anthropogenic,49.71
2010,7,Kaziranga National Park,Assam,Anthropogenic,81.67
2010,8,Uttarakhand Forests,Uttarakhand,Anthropogenic,59.21
2010,9,Gir National Park,Gujarat,Anthropogenic,125.28
2010,10,Uttarakhand Forests,Uttarakhand,Natural,183.64
2010,11,Simlipal National Park,Odisha,Anthropogenic,178.81
2010,12,Sundarbans,West Bengal,Anthropogenic,131.61
2011,1,Nagaland Forests,Nagaland,Anthropogenic,190.99
2011,2,Uttarakhand Forests,Uttarakhand,Anthropogenic,133.96
2011,3,Simlipal National Park,Odisha,Anthropogenic,79.81
2011,4,Himachal Forests,Himachal Pradesh,Anthropogenic,113.8
2011,5,Kaziranga National Park,Assam,Anthropogenic,60.94
2011,6,Uttarakhand Forests,Uttarakhand,Anthropogenic,50.35
2011,7,Kaziranga National Park,Assam,Anthropogenic,175.4
2011,8,Simlipal National Park,Odisha,Anthropogenic,186.27
2011,9,Himachal Forests,Himachal Pradesh,Anthropogenic,22.5
2011,10,Satpura Range,Madhya Pradesh,Anthropogenic,15.75
2011,11,Gir National Park,Gujarat,Anthropogenic,22.72
2011,12,Uttarakhand Forests,Uttarakhand,Anthropogenic,192.47
2012,1,Periyar Tiger Reserve,Kerala,Anthropogenic,5.82
2012,2,Kaziranga National Park,Assam,Anthropogenic,194.93
2012,3,Bandipur Tiger Reserve,Karnataka,Anthropogenic,100.81
2012,4,Sundarbans,West Bengal,Anthropogenic,97.54
2012,5,Satpura Range,Madhya Pradesh,Anthropogenic,59.47
2012,6,Gir National Park,Gujarat,Anthropogenic,166.61
2012,7,Nagaland Forests,Nagaland,Anthropogenic,50.75
2012,8,Sundarbans,West Bengal,Anthropogenic,84.86
2012,9,Satpura Range,Madhya Pradesh,Anthropogenic,65.01
2012,10,Nagaland Forests,Nagaland,Anthropogenic,14.01
2012,11,Himachal Forests,Himachal Pradesh,Anthropogenic,170.44
2012,12,Bandipur Tiger Reserve,Karnataka,Anthropogenic,145.54
2013,1,Kaziranga National Park,Assam,Anthropogenic,90.75
2013,2,Simlipal National Park,Odisha,Anthropogenic,190.33
2013,3,Gir National Park,Gujarat,Anthropogenic,154.2
2013,4,Kaziranga National Park,Assam,Anthropogenic,130.52
2013,5,Satpura Range,Madhya Pradesh,Anthropogenic,199.38
2013,6,Kaziranga National Park,Assam,Anthropogenic,90.24
2013,7,Periyar Tiger Reserve,Kerala,Anthropogenic,82.82
2013,8,Periyar Tiger Reserve,Kerala,Anthropogenic,194.96
2013,9,Satpura Range,Madhya Pradesh,Anthropogenic,70.09
2013,10,Kaziranga National Park,Assam,Anthropogenic,45.12
2013,11,Gir National Park,Gujarat,Anthropogenic,199.54
2013,12,Nagaland Forests,Nagaland,Anthropogenic,45.88
2014,1,Periyar Tiger Reserve,Kerala,Anthropogenic,137.16
2014,2,Periyar Tiger Reserve,Kerala,Anthropogenic,44.61
2014,3,Periyar Tiger Reserve,Kerala,Natural,168.68
2014,4,Gir National Park,Gujarat,Anthropogenic,188.66
2014,5,Nagaland Forests,Nagaland,Anthropogenic,79.87
2014,6,Sundarbans,West Bengal,Anthropogenic,192.19
2014,7,Sundarbans,West Bengal,Anthropogenic,128.51
2014,8,Periyar Tiger Reserve,Kerala,Anthropogenic,30.05
2014,9,Sundarbans,West Bengal,Anthropogenic,197.03
2014,10,Gir National Park,Gujarat,Anthropogenic,106.81
2014,11,Himachal Forests,Himachal Pradesh,Anthropogenic,105.63
2014,12,Periyar Tiger Reserve,Kerala,Anthropogenic,147.22
2015,1,Sundarbans,West Bengal,Anthropogenic,11.93
2015,2,Kaziranga National Park,Assam,Anthropogenic,61.9
2015,3,Gir National Park,Gujarat,Natural,147.65
2015,4,Gir National Park,Gujarat,Anthropogenic,123.93
2015,5,Periyar Tiger Reserve,Kerala,Anthropogenic,86.9
2015,6,Himachal Forests,Himachal Pradesh,Anthropogenic,67.79
2015,7,Nagaland Forests,Nagaland,Natural,62.56
2015,8,Nagaland Forests,Nagaland,Anthropogenic,45.07
2015,9,Simlipal National Park,Odisha,Anthropogenic,95.65
2015,10,Satpura Range,Madhya Pradesh,Anthropogenic,76.72
2015,11,Gir National Park,Gujarat,Anthropogenic,70.54
2015,12,Nagaland Forests,Nagaland,Anthropogenic,152.32
2016,1,Himachal Forests,Himachal Pradesh,Anthropogenic,166.58
2016,2,Satpura Range,Madhya Pradesh,Natural,195.01
2016,3,Simlipal National Park,Odisha,Anthropogenic,115.63
2016,4,Uttarakhand Forests,Uttarakhand,Anthropogenic,138.71
2016,5,Gir National Park,Gujarat,Anthropogenic,140.43
2016,6,Periyar Tiger Reserve,Kerala,Anthropogenic,5.01
2016,7,Nagaland Forests,Nagaland,Natural,92.84
2016,8,Periyar Tiger Reserve,Kerala,Anthropogenic,187.51
2016,9,Nagaland Forests,Nagaland,Anthropogenic,23.02
2016,10,Nagaland Forests,Nagaland,Anthropogenic,163.03
2016,11,Periyar Tiger Reserve,Kerala,Anthropogenic,45.99
2016,12,Periyar Tiger Reserve,Kerala,Anthropogenic,83.07
2017,1,Kaziranga National Park,Assam,Anthropogenic,135.06
2017,2,Himachal Forests,Himachal Pradesh,Anthropogenic,18.86
2017,3,Gir National Park,Gujarat,Anthropogenic,105.41
2017,4,Simlipal National Park,Odisha,Anthropogenic,162.13
2017,5,Simlipal National Park,Odisha,Anthropogenic,73.23
2017,6,Uttarakhand Forests,Uttarakhand,Anthropogenic,47.41
2017,7,Sundarbans,West Bengal,Anthropogenic,99.02
2017,8,Bandipur Tiger Reserve,Karnataka,Anthropogenic,16.77
2017,9,Satpura Range,Madhya Pradesh,Anthropogenic,65.26
2017,10,Nagaland Forests,Nagaland,Anthropogenic,126.08
2017,11,Uttarakhand Forests,Uttarakhand,Anthropogenic,28.55
2017,12,Simlipal National Park,Odisha,Anthropogenic,130.49
2018,1,Gir National Park,Gujarat,Anthropogenic,28.68
2018,2,Sundarbans,West Bengal,Anthropogenic,107.42
2018,3,Satpura Range,Madhya Pradesh,Anthropogenic,26.4
2018,4,Periyar Tiger Reserve,Kerala,Anthropogenic,110.61
2018,5,Gir National Park,Gujarat,Anthropogenic,115.93
2018,6,Himachal Forests,Himachal Pradesh,Anthropogenic,123.87
2018,7,Sundarbans,West Bengal,Anthropogenic,103.07
2018,8,Gir National Park,Gujarat,Natural,93.23
2018,9,Nagaland Forests,Nagaland,Anthropogenic,22.12
2018,10,Himachal Forests,Himachal Pradesh,Anthropogenic,27.64
2018,11,Satpura Range,Madhya Pradesh,Anthropogenic,111.07
2018,12,Gir National Park,Gujarat,Anthropogenic,72.74
2019,1,Kaziranga National Park,Assam,Anthropogenic,85.07
2019,2,Bandipur Tiger Reserve,Karnataka,Anthropogenic,82.93
2019,3,Kaziranga National Park,Assam,Anthropogenic,12.27
2019,4,Nagaland Forests,Nagaland,Anthropogenic,178.21
2019,5,Bandipur Tiger Reserve,Karnataka,Anthropogenic,68.22
2019,6,Bandipur Tiger Reserve,Karnataka,Anthropogenic,180.46
2019,7,Uttarakhand Forests,Uttarakhand,Anthropogenic,185.13
2019,8,Kaziranga National Park,Assam,Anthropogenic,41.14
2019,9,Kaziranga National Park,Assam,Anthropogenic,36.43
2019,10,Gir National Park,Gujarat,Anthropogenic,97.74
2019,11,Kaziranga National Park,Assam,Anthropogenic,38.65
2019,12,Bandipur Tiger Reserve,Karnataka,Anthropogenic,153.38
2020,1,Periyar Tiger Reserve,Kerala,Anthropogenic,72.04
2020,2,Nagaland Forests,Nagaland,Anthropogenic,7.56
2020,3,Periyar Tiger Reserve,Kerala,Anthropogenic,158.93
2020,4,Himachal Forests,Himachal Pradesh,Anthropogenic,80.1
2020,5,Kaziranga National Park,Assam,Anthropogenic,74.6
2020,6,Gir National Park,Gujarat,Anthropogenic,151.02
2020,7,Bandipur Tiger Reserve,Karnataka,Anthropogenic,22.58
2020,8,Satpura Range,Madhya Pradesh,Anthropogenic,120.08
2020,9,Periyar Tiger Reserve,Kerala,Anthropogenic,164.0
2020,10,Bandipur Tiger Reserve,Karnataka,Anthropogenic,12.21
2020,11,Sundarbans,West Bengal,Anthropogenic,26.53
2020,12,Kaziranga National Park,Assam,Anthropogenic,124.96
2021,1,Uttarakhand Forests,Uttarakhand,Anthropogenic,129.73
2021,2,Sundarbans,West Bengal,Anthropogenic,33.6
2021,3,Periyar Tiger Reserve,Kerala,Anthropogenic,137.72
2021,4,Nagaland Forests,Nagaland,Anthropogenic,164.1
2021,5,Himachal Forests,Himachal Pradesh,Anthropogenic,123.9
2021,6,Uttarakhand Forests,Uttarakhand,Anthropogenic,71.08
2021,7,Simlipal National Park,Odisha,Anthropogenic,137.98
2021,8,Sundarbans,West Bengal,Anthropogenic,100.8
2021,9,Nagaland Forests,Nagaland,Anthropogenic,136.01
2021,10,Gir National Park,Gujarat,Anthropogenic,64.5
2021,11,Periyar Tiger Reserve,Kerala,Anthropogenic,26.17
2021,12,Himachal Forests,Himachal Pradesh,Anthropogenic,52.34
2022,1,Periyar Tiger Reserve,Kerala,Natural,10.59
2022,2,Uttarakhand Forests,Uttarakhand,Anthropogenic,126.62
2022,3,Himachal Forests,Himachal Pradesh,Anthropogenic,82.63
2022,4,Nagaland Forests,Nagaland,Anthropogenic,179.15
2022,5,Gir National Park,Gujarat,Anthropogenic,180.45
2022,6,Simlipal National Park,Odisha,Anthropogenic,102.39
2022,7,Satpura Range,Madhya Pradesh,Anthropogenic,161.71
2022,8,Gir National Park,Gujarat,Anthropogenic,166.11
2022,9,Simlipal National Park,Odisha,Anthropogenic,62.96
2022,10,Satpura Range,Madhya Pradesh,Anthropogenic,19.71
2022,11,Sundarbans,West Bengal,Anthropogenic,52.8
2022,12,Nagaland Forests,Nagaland,Anthropogenic,149.01
2023,1,Bandipur Tiger Reserve,Karnataka,Anthropogenic,40.63
2023,2,Sundarbans,West Bengal,Anthropogenic,126.42
2023,3,Bandipur Tiger Reserve,Karnataka,Anthropogenic,102.6
2023,4,Satpura Range,Madhya Pradesh,Anthropogenic,21.5
2023,5,Gir National Park,Gujarat,Anthropogenic,92.0
2023,6,Satpura Range,Madhya Pradesh,Anthropogenic,174.51
2023,7,Simlipal National Park,Odisha,Anthropogenic,9.57
2023,8,Kaziranga National Park,Assam,Anthropogenic,96.39
2023,9,Gir National Park,Gujarat,Anthropogenic,153.01
2023,10,Uttarakhand Forests,Uttarakhand,Anthropogenic,55.88
2023,11,Periyar Tiger Reserve,Kerala,Anthropogenic,72.28
2023,12,Sundarbans,West Bengal,Anthropogenic,23.17
2024,1,Himachal Forests,Himachal Pradesh,Anthropogenic,7.49
2024,2,Bandipur Tiger Reserve,Karnataka,Anthropogenic,19.6
2024,3,Sundarbans,West Bengal,Anthropogenic,133.96
2024,4,Satpura Range,Madhya Pradesh,Anthropogenic,199.59
2024,5,Nagaland Forests,Nagaland,Anthropogenic,2.89
2024,6,Kaziranga National Park,Assam,Anthropogenic,0.76
2024,7,Bandipur Tiger Reserve,Karnataka,Anthropogenic,176.38
2024,8,Sundarbans,West Bengal,Anthropogenic,97.26
2024,9,Himachal Forests,Himachal Pradesh,Anthropogenic,192.28
2024,10,Bandipur Tiger Reserve,Karnataka,Anthropogenic,120.45
2024,11,Himachal Forests,Himachal Pradesh,Anthropogenic,46.99
2024,12,Nagaland Forests,Nagaland,Anthropogenic,55.02
2025,1,Kaziranga National Park,Assam,Anthropogenic,172.22
2025,2,Simlipal National Park,Odisha,Anthropogenic,86.64
2025,3,Simlipal National Park,Odisha,Anthropogenic,185.13
2025,4,Kaziranga National Park,Assam,Anthropogenic,69.4
2025,5,Kaziranga National Park,Assam,Anthropogenic,42.58
2025,6,Simlipal National Park,Odisha,Anthropogenic,160.95
2025,7,Kaziranga National Park,Assam,Anthropogenic,152.44
2025,8,Sundarbans,West Bengal,Anthropogenic,44.53
2025,9,Gir National Park,Gujarat,Anthropogenic,60.37
2025,10,Kaziranga National Park,Assam,Anthropogenic,173.55
2025,11,Bandipur Tiger Reserve,Karnataka,Anthropogenic,91.42
2025,12,Kaziranga National Park,Assam,Anthropogenic,64.69
